195, 371, 19
195, 371, 19
195, 368, 19
195, 364, 19
195, 361, 19
195, 357, 19
195, 355, 19
195, 353, 19
195, 347, 19
195, 346, 19
195, 344, 19
195, 341, 19
195, 340, 19
195, 339, 19
195, 338, 19
195, 337, 19
195, 334, 19
195, 327, 19
195, 326, 19
195, 322, 19
195, 318, 19
195, 315, 19
195, 312, 19
195, 311, 19
195, 309, 19
195, 304, 19
195, 302, 19
195, 298, 19
195, 292, 19
194, 288, 19
194, 284, 19
194, 278, 19
194, 277, 19
194, 272, 19
194, 266, 19
194, 261, 19
194, 258, 19
194, 253, 19
194, 251, 19
194, 247, 19
194, 234, 19
194, 231, 19
194, 222, 19
194, 216, 19
193, 205, 20
193, 193, 20
193, 181, 20
192, 166, 21
192, 152, 21
189, 124, 24
